syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
hig,ø,g,ig,hig,ehig,aehig,C,KC,LKC,CLKC,CCLKC,dis,ø,d,di,dis,disp,dispo,C,CK,CKC,CKCC,CKCCL,10,7,9,9,10,7,9,3,3,4,4,3,3,4,-1,light,light,light,light,heavy,light,light,c,o,o,o,c,o,c,CKC,CL,CL,AL,LCC,CL,KC,C,C,C,A,,C,,C,,,,CC,,C,K,L,L,L,L,L,K,3,2,2,2,3,2,3,1,0,0,0,2,0,1,1,1,1,1,0,1,0,1,2,2,2,2,2,1,CVC,CVV,CVV,CVV,VVCC,CVV,VC,2,0,0,0,1,0,1,A,NA,F,2,dispositionsfaehig,antepaenultima
skop,ø,p,op,kop,skop,oskop,C,LC,CLC,CCLC,LCCLC,E,ø,E,El,Ele,Elek,Elekt,L,LC,LCK,LCKC,LCKCC,6,11,11,12,11,12,8,6,3,3,4,5,3,2,0,light,light,light,schwa,light,light,light,o,c,o,c,o,c,c,L,CKC,CCL,CKC,CL,CCLC,CLC,,C,CC,C,C,CC,C,,C,,C,,C,C,L,K,L,K,L,L,L,1,3,3,3,2,3,4,0,1,0,1,0,1,1,0,1,2,1,1,2,1,2,1,2,1,2,2,2,VV,CVC,CCVV,CVC,CVV,CCVVC,CVVC,0,2,1,2,0,1,1,N,NN,T,2,Elektronenmikroskop,undef
gen,ø,n,en,gen,egen,oegen,C,KC,CKC,LCKC,CLCKC,Er,ø,E,Er,Eri,Erin,Erinn,K,KC,KCK,KCKC,KCKCK,10,8,9,16,11,9,10,5,8,4,4,3,4,3,0,light,light,schwa,heavy,light,light,schwa,c,c,o,c,c,o,c,KC,K,CK,CKCC,CKC,CL,CKC,,,C,C,C,C,C,C,,,CC,C,,C,K,K,K,K,K,L,K,2,2,2,5,3,2,3,1,1,0,2,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,VC,VC,CV,CVCC,CVC,CVV,CVC,1,1,1,3,2,0,2,N,NN,T,2,Erinnerungsvermoegen,sekunda
gung,ø,g,ng,ung,gung,igung,C,KC,CKC,KCKC,CKCKC,E,ø,E,Ex,Exi,Exis,Exist,K,KC,KCC,KCCK,KCCKC,6,11,11,7,11,9,12,6,2,2,3,3,4,4,0,light,light,heavy,schwa,light,light,light,c,c,c,o,c,c,c,K,CCKC,CKCA,CK,CKC,CK,CKC,,CC,C,C,C,C,C,,C,CA,,C,,C,K,K,K,K,K,K,K,1,2,5,2,4,2,4,1,1,2,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,VC,CCVC,CVCC,CV,CVC,CVC,CVC,1,3,3,1,2,2,2,N,NV,T,2,Existenzberechtigung,undef
phie,ø,e,ie,hie,phie,ophie,L,CL,LCL,CLCL,LCLCL,E,ø,E,Ex,Exi,Exis,Exist,K,KC,KCC,KCCK,KCCKC,6,11,11,9,10,7,9,6,2,2,4,5,3,4,0,light,light,heavy,light,light,light,light,c,c,c,o,o,o,o,K,CCKC,CKCA,CL,CL,CL,CL,,CC,C,C,C,C,C,,C,CA,,,,,K,K,K,L,L,L,L,1,2,5,3,2,2,4,1,1,2,0,0,0,0,0,2,1,1,1,1,1,1,1,1,2,2,2,2,VC,CCVC,CVCC,CVV,CVV,CVV,CVV,1,3,3,0,0,0,0,N,NN,T,2,Existenzphilosophie,undef
ter,ø,r,er,ter,iter,eiter,C,KC,CKC,DCKC,CDCKC,Ex,ø,E,Ex,Exp,Expe,Exped,K,KC,KCC,KCCC,KCCCL,8,7,9,9,10,14,11,2,3,4,4,3,7,3,0,heavy,light,light,light,heavy,light,schwa,c,o,o,o,c,o,c,KCC,CL,CL,AL,LCC,CD,CKC,,C,C,A,,C,C,CC,,,,CC,,C,K,L,L,L,L,D,K,2,2,2,2,3,3,3,2,0,0,0,2,0,1,0,1,1,1,0,1,1,1,2,2,2,2,2,1,VCC,CVV,CVV,CVV,VVCC,CVV,CVC,2,0,0,0,1,0,2,N,NV,T,2,Expeditionsleiter,antepaenultima
on,ø,n,on,ion,sion,ssion,C,LC,LLC,CLLC,KCLLC,Fron,ø,F,Fr,Fro,Fron,Fronl,C,CC,CCL,CCLC,CCLCC,14,15,17,11,7,9,9,3,5,4,3,3,4,4,-2,light,light,heavy,light,light,light,light,c,c,c,o,c,o,c,CCLC,CDC,CLCC,CCL,AK,CL,LC,CC,C,C,CC,A,C,,C,C,CC,,,,C,L,D,L,L,K,L,L,4,5,4,3,3,2,2,1,1,2,0,1,0,1,2,1,1,2,1,1,0,2,2,2,2,1,2,2,CCVVC,CVVC,CVVCC,CCVV,CVC,CVV,VVC,1,1,1,1,2,0,0,N,NN,T,2,Fronleichnamsprozession,sekunda
gung,ø,g,ng,ung,gung,agung,C,KC,CKC,LCKC,CLCKC,Ge,ø,G,Ge,Ged,Geda,Gedan,C,CK,CKC,CKCK,CKCKC,7,10,10,8,11,15,12,3,3,3,8,3,5,4,0,schwa,light,schwa,light,schwa,light,light,o,c,c,o,c,o,c,CK,CKC,CKC,L,CKC,CCL,CKC,C,C,C,,C,CC,C,,C,C,,C,,C,K,K,K,L,K,L,K,2,3,3,1,3,3,4,0,1,1,0,1,0,1,1,1,1,0,1,2,1,1,1,1,2,1,2,1,CV,CVC,CVC,VV,CVC,CCVV,CVC,1,2,2,0,2,1,2,N,NV,T,2,Gedankenuebertragung,sekunda
ung,ung,g,ng,ung,iung,eiung,C,KC,DKC,CDKC,CCDKC,Ge,ø,G,Ge,Gef,Gefa,Gefan,C,CK,CKC,CKCK,CKCKC,7,7,9,12,7,15,11,3,3,4,4,3,5,5,0,schwa,light,schwa,schwa,schwa,light,light,o,c,o,c,o,o,c,CK,CK,CK,CKC,CK,CCD,KC,C,C,C,C,C,CC,,,,,C,,,C,K,K,K,K,K,D,K,2,3,2,3,2,4,3,0,1,0,1,0,0,1,1,1,1,1,1,2,0,1,1,1,1,1,2,1,CV,CVC,CV,CVC,CV,CCVV,VC,1,2,1,2,1,1,1,N,NV,T,2,Gefangenenbefreiung,sekunda
hen,ø,n,en,hen,ehen,tehen,C,KC,LKC,CLKC,CCLKC,ge,ø,g,ge,geg,gege,gegen,C,CL,CLC,CLCK,CLCKC,7,10,13,9,11,8,9,3,3,6,4,3,2,4,0,light,schwa,light,light,schwa,light,schwa,o,c,c,c,c,o,c,CL,CKC,DC,KC,CKC,CCL,KC,C,C,,,C,CC,,,C,C,C,C,,C,L,K,D,K,K,L,K,2,3,3,2,3,3,3,0,1,1,1,1,0,1,1,1,0,0,1,2,0,2,1,2,1,1,2,1,CVV,CVC,VVC,VC,CVC,CCVV,VC,0,2,0,1,2,1,1,V,BV,F,2,gegeneinanderstehen,undef
len,ø,n,en,len,llen,ellen,C,KC,CKC,KCKC,CKCKC,ge,ø,g,ge,geg,gege,gegen,C,CL,CLC,CLCK,CLCKC,7,10,13,9,11,8,13,3,3,6,4,3,2,4,0,light,schwa,light,light,schwa,light,schwa,o,c,c,c,c,c,c,CL,CKC,DC,KC,CKC,CCK,CKC,C,C,,,C,CC,C,,C,C,C,C,,C,L,K,D,K,K,K,K,2,3,3,2,3,4,3,0,1,1,1,1,1,1,1,1,0,0,1,2,1,2,1,2,1,1,1,1,CVV,CVC,VVC,VC,CVC,CCVC,CVC,0,2,0,1,2,3,2,V,BV,F,2,gegeneinanderstellen,undef
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,Ge,ø,G,Ge,Geg,Gege,Gegen,C,CL,CLC,CLCK,CLCKC,7,10,10,11,9,9,9,3,3,5,3,4,4,4,0,light,schwa,light,light,light,light,light,o,c,o,c,c,o,c,CL,CKC,CL,CKC,CK,AL,LC,C,C,C,C,C,A,,,C,,C,,,C,L,K,L,K,K,L,L,2,3,2,3,2,2,2,0,1,0,1,1,0,1,1,1,1,1,1,1,0,2,1,2,1,1,2,2,CVV,CVC,CVV,CVC,CVC,CVV,VVC,0,2,0,2,2,0,0,N,PN,T,2,Gegenreformation,prima
len,ø,n,en,len,olen,holen,C,KC,CKC,LCKC,CLCKC,ge,ø,g,ge,gen,gene,gener,C,CL,CLC,CLCK,CLCKC,7,9,18,8,11,7,13,3,4,6,8,3,3,4,0,light,schwa,light,light,schwa,light,schwa,o,o,c,o,c,o,c,CL,CK,CLC,L,CKC,CL,CKC,C,C,C,,C,C,C,,,C,,C,,C,L,K,L,L,K,L,K,2,2,3,1,3,2,3,0,0,1,0,1,0,1,1,1,1,0,1,1,1,2,1,2,2,1,2,1,CVV,CV,CVVC,VV,CVC,CVV,CVC,0,1,1,0,2,0,2,V,ø,F,2,generalueberholen,undef
tag,ø,g,ag,tag,stag,gstag,C,LC,CLC,CCLC,CCCLC,Hei,ø,H,He,Hei,Heil,Heili,C,CD,CDC,CDCL,CDCLC,11,12,7,15,7,13,12,5,6,3,5,3,3,4,0,light,light,schwa,light,light,heavy,light,o,o,o,o,o,c,c,CD,CL,CK,CCD,CL,CKCC,CLC,C,C,C,CC,C,C,C,,,,,,CC,C,D,L,K,D,L,K,L,3,2,2,4,2,4,3,0,0,0,0,0,2,1,1,1,1,2,1,1,1,2,2,1,2,2,1,2,CVV,CVV,CV,CCVV,CVV,CVCC,CVVC,0,0,1,1,0,3,1,N,AN,T,2,Heiligedreikoenigstag,antepaenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,her,ø,h,he,her,hera,herau,C,CK,CKC,CKCD,CKCDC,7,15,14,7,12,9,13,3,5,3,3,6,4,4,0,light,light,light,light,light,light,schwa,c,c,c,c,o,o,c,CK,CDC,CCKC,CK,CL,CL,CKC,C,C,CC,C,C,C,C,,C,C,,,,C,K,D,K,K,L,L,K,3,3,3,4,2,3,3,1,1,1,1,0,0,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,CVC,CVVC,CCVC,CVC,CVV,CVV,CVC,2,1,3,2,0,0,2,V,BV,F,2,herauskristallisieren,sekunda
te,ø,e,te,nte,ente,rente,K,CK,CCK,KCCK,CKCCK,Hin,ø,H,Hi,Hin,Hint,Hinte,C,CK,CKC,CKCC,CKCCK,12,11,13,7,12,13,7,4,3,4,3,4,4,3,-1,light,schwa,light,schwa,schwa,light,schwa,c,c,o,o,c,c,o,CKC,CKC,CCL,CK,CKC,CKC,CK,C,C,CC,C,C,C,C,C,C,,,C,C,,K,K,L,K,K,K,K,3,3,4,2,3,3,2,1,1,0,0,1,1,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,CVC,CVC,CCVV,CV,CVC,CVC,CV,2,2,1,1,2,2,1,N,NN,T,2,Hinterbliebenenrente,undef
rei,ø,i,ei,rei,erei,lerei,D,CD,KCD,CKCD,LCKCD,Hi,ø,H,Hi,His,Hist,Histo,C,CK,CKC,CKCC,CKCCL,10,7,12,9,13,10,14,3,3,6,4,6,5,7,0,light,light,light,schwa,light,schwa,light,c,o,o,c,o,o,o,CKC,CL,CL,KC,CL,CK,CD,C,C,C,,C,C,C,C,,,C,,,,K,L,L,K,L,K,D,2,3,2,2,2,2,3,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,2,2,1,2,1,2,CVC,CVV,CVV,VC,CVV,CV,CVV,2,0,0,1,0,1,0,N,NN,T,2,Historienmalerei,ultima
siert,ø,t,rt,ert,iert,siert,C,CC,LCC,CLCC,LCLCC,hoch,hoch,h,ho,hoc,hoch,hochi,C,CL,CLC,CLCK,CLCKC,8,11,10,13,6,12,14,2,5,3,4,6,6,3,0,light,light,light,light,light,light,heavy,c,c,c,o,c,o,c,CLC,KC,CKC,CCL,K,CL,CLCC,C,,C,CC,,C,C,C,C,C,,,,CC,L,K,K,L,K,L,L,4,2,2,4,1,2,5,1,1,1,0,1,0,2,1,0,1,2,0,1,1,2,1,1,2,1,2,2,CVVC,VC,CVC,CCVV,VC,CVV,CVVCC,1,1,2,1,1,0,1,A,ø,F,2,hochindustrialisiert,prima
men,ø,n,en,men,omen,nomen,C,KC,CKC,LCKC,CLCKC,In,ø,I,In,Ind,Inde,Indef,K,KC,KCC,KCCL,KCCLC,11,7,9,12,11,9,12,5,3,4,4,3,4,4,0,light,light,light,light,light,light,schwa,c,o,o,c,o,o,c,KC,CL,CL,CLC,CCL,CL,CKC,,C,C,C,CC,C,C,C,,,C,,,C,K,L,L,L,L,L,K,2,2,2,3,3,2,3,1,0,0,1,0,0,1,0,1,1,1,2,1,1,1,2,2,2,2,2,1,VC,CVV,CVV,CVVC,CCVV,CVV,CVC,1,0,0,1,1,0,2,N,AN,T,2,Indefinitpronomen,undef
te,ø,e,te,hte,chte,ichte,K,CK,CCK,KCCK,CKCCK,In,ø,I,In,Ind,Indi,India,K,KC,KCC,KCCL,KCCLL,11,9,10,13,7,10,7,5,4,10,4,3,3,3,-1,light,light,light,schwa,schwa,light,schwa,c,o,o,c,o,c,o,KC,CL,L,CKC,CK,CKC,CK,,C,,C,C,C,C,C,,,C,,C,,K,L,L,K,K,K,K,2,2,1,3,2,6,2,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,2,2,1,1,1,1,VC,CVV,VV,CVC,CV,CVC,CV,1,0,0,2,1,2,1,N,NN,T,2,Indianergeschichte,undef
rat,ø,t,at,rat,arat,parat,C,LC,CLC,KCLC,CKCLC,In,ø,I,In,Ind,Indu,Induk,K,KC,KCC,KCCK,KCCKC,11,10,9,10,6,7,15,5,3,4,3,6,3,5,0,light,light,light,heavy,light,light,light,c,c,o,c,c,c,c,KC,CKC,AL,LCC,K,CK,CLC,,C,A,,,C,C,C,C,,CC,,,C,K,K,L,L,K,K,L,2,3,2,3,2,2,3,1,1,0,2,1,1,1,0,1,1,0,0,1,1,1,1,2,2,1,1,2,VC,CVC,CVV,VVCC,VC,CVC,CVVC,1,2,0,1,1,2,1,N,NN,T,2,Induktionsapparat,undef
men,ø,n,en,men,hmen,ehmen,C,KC,CKC,LCKC,CLCKC,In,ø,I,In,Ind,Indu,Indus,K,KC,KCC,KCCK,KCCKC,11,10,13,11,11,9,12,5,3,4,5,3,4,4,-1,light,light,light,light,schwa,light,schwa,c,c,o,c,c,o,c,KC,CKC,CCL,KC,CKC,CL,CKC,,C,CC,,C,C,C,C,C,,C,C,,C,K,K,L,K,K,L,K,2,2,5,2,3,3,3,1,1,0,1,1,0,1,0,1,2,0,1,1,1,1,1,2,1,1,2,1,VC,CVC,CCVV,VC,CVC,CVV,CVC,1,2,1,1,2,0,2,N,NN,T,2,Industrieunternehmen,undef
tausch,ø,h,ch,sch,usch,ausch,C,DC,CDC,CCDC,DCCDC,In,ø,I,In,Inf,Info,Infor,K,KC,KCC,KCCK,KCCKC,11,11,9,9,10,11,12,5,3,4,4,3,5,4,0,light,light,light,light,heavy,light,light,c,c,c,o,c,c,c,KC,CKC,CK,AL,LCC,DC,CDC,,C,C,A,,,C,C,C,,,CC,C,C,K,K,K,L,L,D,D,2,3,2,2,3,3,6,1,1,1,0,2,1,1,0,1,1,1,0,0,1,1,1,1,2,2,2,2,VC,CVC,CVC,CVV,VVCC,VVC,CVVC,1,2,2,0,1,0,1,N,NN,T,2,Informationsaustausch,antepaenultima
le,ø,e,le,lle,elle,uelle,K,CK,KCK,CKCK,CCKCK,In,ø,I,In,Inf,Info,Infor,K,KC,KCC,KCCK,KCCKC,11,11,9,9,10,8,10,5,3,4,4,3,2,5,-1,light,light,light,light,heavy,light,schwa,c,c,c,o,c,c,o,KC,CKC,CK,AL,LCC,CCK,CK,,C,C,A,,CC,C,C,C,,,CC,,,K,K,K,L,L,K,K,2,3,2,2,3,4,2,1,1,1,0,2,1,0,0,1,1,1,0,2,1,1,1,1,2,2,1,1,VC,CVC,CVC,CVV,VVCC,CCVC,CV,1,2,2,0,1,3,1,N,NN,T,2,Informationsquelle,antepaenultima
stem,ø,m,em,tem,stem,ystem,C,LC,CLC,CCLC,KCCLC,In,ø,I,In,Inf,Info,Infor,K,KC,KCC,KCCK,KCCKC,11,11,9,9,10,10,10,5,3,4,4,3,3,3,-1,light,light,light,light,heavy,light,light,c,c,c,o,c,c,c,KC,CKC,CK,AL,LCC,CKC,CLC,,C,C,A,,C,C,C,C,,,CC,C,C,K,K,K,L,L,K,L,2,3,2,2,3,2,4,1,1,1,0,2,1,1,0,1,1,1,0,1,1,1,1,1,2,2,1,2,VC,CVC,CVC,CVV,VVCC,CVC,CVVC,1,2,2,0,1,2,1,N,NN,T,2,Informationssystem,antepaenultima
nisch,ø,h,ch,sch,isch,nisch,C,KC,CKC,CCKC,KCCKC,in,ø,i,in,inf,info,infor,K,KC,KCC,KCCK,KCCKC,11,11,9,9,10,8,12,5,3,4,4,3,2,4,-1,light,light,light,light,heavy,light,light,c,c,c,o,c,c,c,KC,CKC,CK,AL,LCC,CKC,CKC,,C,C,A,,C,C,C,C,,,CC,C,C,K,K,K,L,L,K,K,2,3,2,2,3,4,5,1,1,1,0,2,1,1,0,1,1,1,0,1,1,1,1,1,2,2,1,1,VC,CVC,CVC,CVV,VVCC,CVC,CVC,1,2,2,0,1,2,2,A,NA,F,2,informationstechnisch,antepaenultima
be,ø,e,be,abe,tabe,stabe,K,CK,LCK,CLCK,CCLCK,I,ø,I,In,Ini,Init,Initi,L,LC,LCL,LCLA,LCLAL,8,11,9,14,10,12,7,8,5,4,7,3,4,3,0,light,light,light,light,light,light,schwa,o,o,o,c,c,o,o,L,CL,AL,LC,CLC,CCL,CK,,C,A,,C,CC,C,,,,C,C,,,L,L,L,L,L,L,K,1,2,2,2,4,3,2,0,0,0,1,1,0,0,0,1,1,0,1,2,1,2,2,2,2,2,2,1,VV,CVV,CVV,VVC,CVVC,CCVV,CV,0,0,0,0,1,1,1,N,NN,T,2,Initialbuchstabe,undef
um,um,m,um,ium,rium,erium,C,KC,LKC,CLKC,LCLKC,In,ø,I,In,Inn,Inne,Innen,K,KC,KCK,KCKC,KCKCC,8,12,11,12,7,12,11,8,4,5,4,3,6,5,0,light,schwa,light,light,light,light,light,c,c,o,c,o,o,c,K,CKC,CL,CKC,CL,CL,KC,,C,C,C,C,C,,,C,,C,,,C,K,K,L,K,L,L,K,2,3,2,2,3,2,2,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,2,1,2,2,1,VC,CVC,CVV,CVC,CVV,CVV,VC,1,2,0,2,0,0,1,N,ø,T,2,Innenministerium,prima
richt,ø,t,ht,cht,icht,richt,C,CC,KCC,CKCC,KCKCC,In,ø,I,In,Inq,Inqu,Inqui,K,KC,KCC,KCCC,KCCCL,11,10,9,9,10,7,14,5,3,4,4,3,3,3,0,light,light,light,light,heavy,schwa,heavy,c,o,o,o,c,o,c,KC,CCL,CL,AL,LCC,CK,CKCC,,CC,C,A,,C,C,C,,,,CC,,CC,K,L,L,L,L,K,K,2,3,2,2,3,2,5,1,0,0,0,2,0,2,0,2,1,1,0,1,1,1,2,2,2,2,1,1,VC,CCVV,CVV,CVV,VVCC,CV,CVCC,1,1,0,0,1,1,3,N,NN,T,2,Inquisitionsgericht,antepaenultima
schaft,schaft,t,ft,aft,haft,chaft,C,CC,KCC,CKCC,CCKCC,In,ø,I,In,Int,Inte,Inter,K,KC,KCC,KCCK,KCCKC,11,7,10,10,7,16,9,5,3,5,3,3,5,2,0,light,schwa,light,schwa,schwa,light,heavy,c,o,c,c,o,c,c,KC,CK,CK,CKC,CK,CDC,CKCC,,C,C,C,C,C,C,C,,,C,,C,CC,K,K,K,K,K,D,K,2,2,3,3,2,4,6,1,0,1,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,VC,CV,CVC,CVC,CV,CVVC,CVCC,1,1,2,2,1,1,3,N,NN,T,2,Interessengemeinschaft,undef
tung,ø,g,ng,ung,tung,etung,C,KC,CKC,LCKC,CLCKC,In,ø,I,In,Int,Inte,Inter,K,KC,KCC,KCCK,KCCKC,11,7,10,10,11,11,12,5,3,5,3,3,3,4,0,light,schwa,light,schwa,light,light,light,c,o,c,c,c,o,c,KC,CK,CK,CKC,CKC,CCL,CKC,,C,C,C,C,CC,C,C,,,C,C,,C,K,K,K,K,K,L,K,2,2,3,3,3,3,4,1,0,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,1,VC,CV,CVC,CVC,CVC,CCVV,CVC,1,1,2,2,2,1,2,N,NV,T,2,Interessenvertretung,undef
be,ø,e,be,abe,gabe,sgabe,K,CK,LCK,CLCK,CCLCK,Ju,ø,J,Ju,Jub,Jubi,Jubil,C,CL,CLC,CLCL,CLCLC,14,9,10,12,11,11,7,7,4,5,4,5,5,3,-1,light,light,light,heavy,light,light,schwa,o,o,o,c,c,o,o,CL,CL,CL,KCC,DC,CL,CK,C,C,C,,,C,C,,,,CC,C,,,L,L,L,K,D,L,K,2,2,2,3,3,2,2,0,0,0,2,1,0,0,1,1,1,0,0,1,1,2,2,2,1,2,2,1,CVV,CVV,CVV,VCC,VVC,CVV,CV,0,0,0,2,0,0,1,N,NN,T,2,Jubilaeumsausgabe,undef
t1t,ø,t,et,aet,taet,itaet,C,LC,CLC,LCLC,CLCLC,Ju,ø,J,Ju,Jug,Juge,Jugen,C,CL,CLC,CLCK,CLCKC,14,11,13,11,13,12,8,7,2,4,5,6,6,2,-1,light,schwa,light,light,light,light,light,o,c,o,o,o,o,c,CL,CKCC,CCL,CL,CL,CL,CLC,C,C,CC,C,C,C,C,,CC,,,,,C,L,K,L,L,L,L,L,2,4,3,2,2,2,3,0,2,0,0,0,0,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,CVV,CVCC,CCVV,CVV,CVV,CVV,CVVC,0,3,1,0,0,0,1,N,NN,T,2,Jugendkriminalitaet,prima
um,um,m,um,ium,rium,erium,C,KC,LKC,CLKC,LCLKC,Ju,ø,J,Ju,Jus,Just,Justi,C,CK,CKC,CKCC,CKCCL,15,10,11,12,7,12,11,5,3,5,4,3,6,5,-1,light,light,light,light,light,light,light,c,c,o,c,o,o,c,CKC,CLA,CL,CKC,CL,CL,KC,C,C,C,C,C,C,,C,A,,C,,,C,K,L,L,K,L,L,K,2,4,2,2,3,2,2,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,2,2,1,CVC,CVVC,CVV,CVC,CVV,CVV,VC,2,1,0,2,0,0,1,N,NN,T,2,Justizministerium,sekunda
um,um,m,um,ium,gium,egium,C,KC,LKC,CLKC,LCLKC,Kar,ø,K,Ka,Kar,Kard,Kardi,C,CK,CKC,CKCC,CKCCL,11,9,18,7,10,9,11,3,4,4,3,5,4,5,-1,light,light,heavy,light,light,light,light,c,o,c,c,o,o,c,CKC,CL,CLCC,CK,CL,CL,KC,C,C,C,C,C,C,,C,,CC,,,,C,K,L,L,K,L,L,K,3,2,4,3,2,2,2,1,0,2,1,0,0,1,1,1,1,1,1,1,0,1,2,2,1,2,2,1,CVC,CVV,CVVCC,CVC,CVV,CVV,VC,2,0,1,2,0,0,1,N,NN,T,2,Kardinalskollegium,undef
ner,ø,r,er,ner,hner,chner,C,KC,CKC,CCKC,DCCKC,Ka,ø,K,Ka,Kar,Kari,Karik,C,CK,CKC,CKCL,CKCLC,7,12,7,9,13,12,13,3,6,3,4,4,4,4,0,light,light,light,light,schwa,light,schwa,c,o,c,o,c,c,c,CK,CL,CK,CL,CKC,ADC,CKC,C,C,C,C,C,A,C,,,,,C,C,C,K,L,K,L,K,D,K,2,2,2,2,3,5,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,CVC,CVV,CVC,CVV,CVC,CVVC,CVC,2,0,2,0,2,1,2,N,NV,T,2,Karikaturenzeichner,undef
