syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,syl0,syl1,syl2,syl3,syl4,syl5,syl6,syl7,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,rhyme6,rhyme7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,syl_class6,syl_class7,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,onset_class6,onset_class7,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,koda_class6,koda_class7,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,nucleus_class6,nucleus_class7,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,nomen,sylcnt,stress_class
1,2,2,2,2,2,2,1,A,lu,mi,ni,um,fo,li,e,e,ø,N,NN,SS,ø,K,KC,KCL,KCLC,KCLCL,K,LK,CLK,LCLK,CLCLK,ø,VC,CVV,CVV,CVV,VC,CVV,CVV,V,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,2,2,2,1,2,2,1,2,1,11,1001,1001,1001,101,11,1,4,4,3,3,3,2,4,4,-1,K,CL,CL,CL,KC,CL,CL,K,,C,C,C,,C,C,,,,,,C,,,,K,L,L,L,K,L,L,K,1,1,1,1,1,1,1,0,T,8,undef
1,2,2,2,2,2,2,3,A,ne,ro,id,ba,ro,me,ter,er,ø,N,NN,SS,ø,K,KC,KCL,KCLC,KCLCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,VVC,CVC,CVV,CVV,CVC,1,0,0,0,2,0,0,2,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,2,2,1,2,2,1,2,1,1001,11,101,101,11,1001,111,4,3,3,3,2,3,3,2,1,K,CL,CL,LC,CK,CL,CL,CKC,,C,C,,C,C,C,C,,,,C,,,,C,K,L,L,L,K,L,L,K,1,1,1,1,1,1,1,0,T,8,multa
2,2,5,3,3,2,3,4,An,ge,stell,ten,ver,si,che,rung,ung,ø,N,NV,ø,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CV,CCVC,CVC,CVC,CVC,CV,CVC,1,1,3,2,2,2,1,2,1,0,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1001,101,211,1101,111,101,101,1011,3,2,2,2,2,3,2,3,-1,KC,CK,CCKC,CKC,CKC,CK,CK,CKC,,C,CC,C,C,C,C,C,C,,C,C,C,,,C,K,K,K,K,K,K,K,K,1,0,1,0,1,1,0,1,T,8,prima
1,3,2,3,3,2,2,2,A,pri,ko,sen,mar,me,la,de,e,ø,N,NN,SAS,ø,K,KC,KCC,KCCL,KCCLC,K,CK,LCK,CLCK,KCLCK,ø,VC,CCVV,CVV,CVC,CVC,CV,CVV,CV,1,1,0,2,2,1,0,1,1,0,0,1,1,0,0,0,0,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,111,101,1101,1011,1001,11,101,4,3,2,2,3,3,4,2,1,K,CCL,CL,CKC,CKC,CK,CL,CK,,CC,C,C,C,C,C,C,,,,C,C,,,,K,L,L,K,K,K,L,K,1,1,1,0,1,0,1,0,T,8,undef
2,5,2,3,3,2,3,4,Ar,beits,lo,sen,ver,si,che,rung,ung,ø,N,NV,ø,ø,K,KC,KCC,KCCD,KCCDA,C,KC,CKC,KCKC,CKCKC,ø,VC,CVVC,CVV,CVC,CVC,CVC,CV,CVC,1,1,0,2,2,2,1,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,11,201,11,1101,111,101,101,1011,3,2,3,2,2,3,2,3,1,KC,CDA,CL,CKC,CKC,CK,CK,CKC,,C,C,C,C,C,C,C,C,A,,C,C,,,C,K,D,L,K,K,K,K,K,1,1,1,0,1,1,0,1,T,8,prima
2,5,2,2,2,2,2,2,Ar,beits,or,ga,ni,sa,ti,on,on,ø,N,NN,SAS,ø,K,KC,KCC,KCCD,KCCDA,C,LC,LLC,ALLC,KALLC,ø,VC,CVVC,VC,CVC,CVV,CVC,CVV,VVC,1,1,1,2,0,2,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,2,1,1,2,1,2,2,2,11,201,11,101,1001,101,101,1001,3,2,3,2,3,2,3,3,1,KC,CDA,KC,CK,CL,CK,AL,LC,,C,,C,C,C,A,,C,A,C,,,,,C,K,D,K,K,L,K,L,L,1,1,1,1,1,1,1,1,T,8,prima
2,2,2,2,2,3,2,3,ar,ti,ku,la,ti,ons,f1,hig,ig,ø,A,NA,SAS,ø,K,KC,KCC,KCCL,KCCLC,C,KC,LKC,CLKC,CCLKC,ø,VC,CVV,CVV,CVC,CVV,VVCC,CVV,VC,1,0,0,2,0,1,0,1,1,0,0,1,0,2,0,1,0,1,1,1,1,0,1,0,1,2,2,1,2,2,2,1,2,11,101,101,11,101,1101,101,101,3,3,3,3,3,2,2,3,1,KC,CL,CL,CK,AL,LCC,CL,KC,,C,C,C,A,,C,,C,,,,,CC,,C,K,L,L,K,L,L,L,K,1,1,1,1,1,2,1,1,F,8,antepaenultima
3,3,5,2,2,2,2,3,Aus,deh,nungs,k3,ef,fi,zi,ent,ent,aus,N,NN,SAS,acc,D,DC,DCC,DCCL,DCCLC,C,CC,KCC,LKCC,ALKCC,ø,VVC,CVV,CVCC,CVV,VC,CVV,CVV,VCC,0,0,3,0,1,0,0,2,1,0,2,0,1,0,0,2,0,1,1,1,0,1,1,0,2,2,1,2,1,2,2,1,2,101,101,2101,101,1,101,101,1101,3,2,2,2,4,3,3,2,1,DC,CL,CKCC,CL,K,CL,AL,KCC,,C,C,C,,C,A,,C,,CC,,,,,CC,D,L,K,L,K,L,L,K,1,1,2,1,1,1,1,2,T,8,prima
3,3,2,3,2,2,3,3,aus,ein,an,der,di,vi,die,ren,en,aus,V,BV,SS,acc,D,DC,DCD,DCDC,DCDCK,C,KC,CKC,LCKC,CLCKC,ø,VVC,VVC,VC,CVC,CVV,CVV,CVV,CVC,0,0,1,2,0,0,0,2,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,2,2,1,1,2,2,2,1,2,101,1001,1001,111,101,101,101,1011,3,4,3,2,3,3,3,3,-1,DC,DC,KC,CKC,CL,CL,CL,CKC,,,,C,C,C,C,C,C,C,C,C,,,,C,D,D,K,K,L,L,L,K,1,1,1,0,1,1,1,0,F,8,undef
2,3,3,2,3,5,2,4,Da,ten,ver,ar,bei,tungs,sy,stem,em,ø,N,NN,ø,ø,C,CL,CLC,CLCK,CLCKC,C,LC,CLC,CCLC,KCCLC,ø,CVV,CVC,CVC,VC,CVV,CVCC,CVC,CVVC,0,2,2,1,0,3,2,1,0,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,1,2,2,101,1101,111,11,101,1201,201,1101,3,2,2,3,3,2,2,2,1,CL,CKC,CKC,KC,CD,CKCC,CKC,CLC,C,C,C,,C,C,C,C,,C,C,C,,CC,C,C,L,K,K,K,D,K,K,L,1,0,1,1,1,2,1,1,T,8,prima
3,3,3,2,1,2,2,3,Dis,pro,por,ti,o,na,li,t1t,1t,ø,N,A,SA,ø,C,CK,CKC,CKCC,CKCCC,C,LC,CLC,LCLC,CLCLC,ø,CVC,CCVV,CVC,CVV,VV,CVC,CVV,CVVC,2,1,2,0,0,2,0,1,1,0,1,0,0,1,0,1,1,2,1,1,0,1,1,1,1,2,1,2,2,1,2,2,1,201,111,111,101,1,1001,11,201,2,2,2,3,4,3,4,2,1,CKC,CCL,CKC,AL,L,CK,CL,CLC,C,CC,C,A,,C,C,C,C,,C,,,,,C,K,L,K,L,L,K,L,L,1,1,1,1,1,1,1,1,T,8,ultima
1,2,2,1,2,2,3,3,e,mo,ti,o,na,li,sie,ren,en,ø,V,A,SA,ø,L,LC,LCL,LCLA,LCLAL,C,KC,CKC,LCKC,CLCKC,ø,VV,CVV,CVV,VV,CVV,CVV,CVV,CVC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1001,101,1,1001,11,101,1011,4,3,3,4,4,4,3,3,1,L,CL,AL,L,CL,CL,CL,CKC,,C,A,,C,C,C,C,,,,,,,,C,L,L,L,L,L,L,L,K,1,1,1,1,1,1,1,0,F,8,paenultima
3,1,2,1,2,2,3,3,ent,i,de,o,lo,gi,sie,ren,en,ent,V,V,AS,noacc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VCC,VV,CVV,VV,CVV,CVV,CVV,CVC,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,1,1101,1,101,1,11,101,101,1011,2,5,2,4,3,3,3,3,-1,KCC,L,CL,L,CL,CL,CL,CKC,,,C,,C,C,C,C,CC,,,,,,,C,K,L,L,L,L,L,L,K,2,1,1,1,1,1,1,0,F,8,paenultima
3,2,2,1,2,2,3,3,ent,na,ti,o,na,li,sie,ren,en,ent,V,V,AS,noacc,K,KC,KCC,KCCC,KCCCK,C,KC,CKC,LCKC,CLCKC,ø,VCC,CVC,CVV,VV,CVV,CVV,CVV,CVC,2,2,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,2,2,2,2,2,1,1,1101,1001,101,1,1001,11,101,1011,2,3,3,4,4,4,3,3,-1,KCC,CK,AL,L,CL,CL,CL,CKC,,C,A,,C,C,C,C,CC,,,,,,,C,K,K,L,L,L,L,L,K,2,1,1,1,1,1,1,0,F,8,paenultima
2,3,5,3,2,1,2,5,er,n1h,rungs,phy,si,o,lo,gisch,isch,er,A,NA,SAS,noacc,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVCC,CVV,CVV,VV,CVV,CVC,1,0,3,0,0,0,0,2,1,0,2,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,2,2,2,2,1,2,11,1001,1111,101,101,1,11,201,3,3,2,3,3,4,3,2,-1,KC,CL,CKCC,CL,CL,L,CL,CKC,,C,C,C,C,,C,C,C,,CC,,,,,C,K,L,K,L,L,L,L,K,1,1,2,1,1,1,1,1,F,8,sekunda
1,2,2,2,3,3,1,3,E,vo,lu,ti,ons,the,o,rie,ie,ø,N,NN,SAS,ø,L,LC,LCL,LCLC,LCLCL,L,CL,LCL,LLCL,CLLCL,ø,VV,CVV,CVV,CVV,VVCC,CVV,VV,CVV,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,0,1,2,2,2,2,2,2,2,2,2,1,101,11,101,1101,101,1,11,4,2,4,3,2,2,4,4,1,L,CL,CL,AL,LCC,CL,L,CL,,C,C,A,,C,,C,,,,,CC,,,,L,L,L,L,L,L,L,L,1,1,1,1,2,1,1,1,T,8,undef
2,2,3,2,2,4,2,2,Ex,po,nen,ti,al,funk,ti,on,on,ø,N,AN,SS,ø,K,KC,KCC,KCCC,KCCCL,C,LC,LLC,ALLC,CALLC,ø,VCC,CVV,CVC,CVV,VVC,CVCC,CVV,VVC,2,0,2,0,0,3,0,0,2,0,1,0,1,2,0,1,0,1,1,1,0,1,1,0,1,2,1,2,2,1,2,2,2,201,101,2001,101,11,1201,101,1001,2,2,2,3,4,2,3,3,1,KCC,CL,CKC,AL,LC,CKCC,AL,LC,,C,C,A,,C,A,,CC,,C,,C,CC,,C,K,L,K,L,L,K,L,L,2,1,1,1,1,2,1,1,T,8,undef
2,2,2,2,2,1,2,3,He,te,ro,se,xu,a,li,t1t,1t,ø,N,N,AS,ø,C,CL,CLC,CLCL,CLCLC,C,LC,CLC,LCLC,CLCLC,ø,CVV,CVV,CVV,CVC,CCVV,VC,CVV,CVVC,0,0,0,2,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,2,0,1,1,2,2,2,1,2,1,2,2,1,101,101,11,101,201,1,11,201,2,2,3,2,2,4,4,2,1,CL,CL,CL,CK,CCL,K,CL,CLC,C,C,C,C,CC,,C,C,,,,,,,,C,L,L,L,K,L,K,L,L,1,1,1,1,1,1,1,1,T,8,ultima
2,2,2,2,1,2,3,3,in,di,vi,du,a,li,sie,ren,en,ø,V,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVV,VC,CVV,CVV,CVC,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,1,1,1001,101,101,101,1,11,101,1011,3,3,3,3,4,4,3,3,-1,KC,CL,CL,CL,K,CL,CL,CKC,,C,C,C,,C,C,C,C,,,,,,,C,K,L,L,L,K,L,L,K,1,1,1,1,1,1,1,0,F,8,paenultima
2,2,2,2,1,2,3,4,In,di,vi,du,a,li,sie,rung,ung,ø,N,V,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,CVV,VC,CVV,CVV,CVC,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,2,2,2,1,2,2,1,1,1001,101,101,101,1,11,101,1011,3,3,3,3,4,4,3,3,-1,KC,CL,CL,CL,K,CL,CL,CKC,,C,C,C,,C,C,C,C,,,,,,,C,K,L,L,L,K,L,L,K,1,1,1,1,1,1,1,1,T,8,paenultima
2,2,2,2,2,3,4,4,In,fi,ni,te,si,mal,rech,nung,ung,ø,N,ø,SSA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,CVV,CVV,CVV,CVVC,CVC,CVC,1,0,0,0,0,1,2,2,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1001,101,1001,101,101,1011,111,2001,3,3,3,2,3,3,2,3,1,KC,CL,CL,CL,CL,CLC,CKC,CKC,,C,C,C,C,C,C,C,C,,,,,C,C,C,K,L,L,L,L,L,K,K,1,1,1,1,1,1,1,1,T,8,antepaenultima
2,3,2,2,1,2,3,3,In,ter,na,ti,o,na,lis,mus,us,ø,N,A,SA,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,noacc,VC,CVC,CVC,CVV,VV,CVV,CVC,CVC,1,2,2,0,0,0,2,2,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1001,111,1001,101,1,1001,111,1101,3,2,3,3,4,4,3,2,1,KC,CKC,CK,AL,L,CL,CKC,CKC,,C,C,A,,C,C,C,C,C,,,,,C,C,K,K,K,L,L,L,K,K,1,0,1,1,1,1,1,1,T,8,paenultima
2,3,2,2,3,3,2,3,In,ter,ro,ga,tiv,pro,no,men,en,ø,N,AN,SS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVV,CVC,CVVC,CCVV,CVV,CVC,1,2,0,2,1,1,0,2,1,1,0,1,1,0,0,1,0,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1001,111,11,101,201,111,1001,2001,3,2,3,2,2,2,3,2,1,KC,CKC,CL,CK,CLC,CCL,CL,CKC,,C,C,C,C,CC,C,C,C,C,,,C,,,C,K,K,L,K,L,L,L,K,1,1,1,1,1,1,1,0,T,8,undef
2,2,2,3,3,2,3,4,In,va,li,den,ver,si,che,rung,ung,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVV,CVC,CVC,CVC,CV,CVC,1,2,0,2,2,2,1,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1001,101,11,1101,111,101,101,1011,3,2,4,2,2,3,2,3,-1,KC,CK,CL,CKC,CKC,CK,CK,CKC,,C,C,C,C,C,C,C,C,,,C,C,,,C,K,K,L,K,K,K,K,K,1,1,1,0,1,1,0,1,T,8,undef
2,1,2,2,3,2,3,4,Ko,a,li,ti,ons,re,gie,rung,ung,ø,N,NN,SAS,ø,C,CL,CLK,CLKC,CLKCL,C,KC,CKC,LCKC,CLCKC,ø,CVV,VC,CVV,CVV,VVCC,CVV,CVV,CVC,0,1,0,0,1,0,0,2,0,1,0,0,2,0,0,1,1,0,1,1,0,1,1,1,2,1,2,2,2,2,2,1,2,101,1,11,101,1101,11,101,1011,2,4,4,3,2,3,3,3,1,CL,K,CL,AL,LCC,CL,CL,CKC,C,,C,A,,C,C,C,,,,,CC,,,C,L,K,L,L,L,L,L,K,1,1,1,1,2,1,1,1,T,8,undef
3,2,2,2,2,3,3,3,Kom,mu,ni,ka,ti,ons,mit,tel,el,ø,N,NN,SAS,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVV,CVV,CVC,CVV,VVCC,CVC,CVC,2,0,0,2,0,1,2,2,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,1,1,2,2,1,2,2,1,1,2,101,1001,1001,101,101,1101,1001,111,2,3,3,2,3,2,3,2,1,CK,CL,CL,CK,AL,LCC,CK,CKC,C,C,C,C,A,,C,C,,,,,,CC,,C,K,L,L,K,L,L,K,K,1,1,1,1,1,2,1,0,T,8,antepaenultima
